,Extracted Area_JHB,Extracted Area_JHBCode,Extracted listing agency,Extracted listing agencyCode,Extracted Type,Extracted TypeCode,Extracted Available Month,Extracted Available MonthCode
1604,Berea,10, Mamela Estates,85,Apartment,0,None,9
1605,Houghton Estate,51, Rawson Properties Sandton Apartment Living,132,Apartment,0,None,9
1606,Parktown,99, National Letting - Johannesburg,91,Apartment,0,None,9
1607,Oakdene,91, Landstar Property Solutions,76,Apartment,0,None,9
1608,Parktown,99, National Letting - Johannesburg,91,Apartment,0,None,9
1609,Oakdene,91, Landstar Property Solutions,76,Apartment,0,None,9
1610,Bassonia,6, Landstar Property Solutions,76,Apartment,0,None,9
1611,Melrose North,78, Pam Golding Properties - Hyde Park Letting,104,Apartment,0,None,9
1612,Johannesburg Central,53, National Letting - Johannesburg,91,Apartment,0,None,9
1613,Turffontein,128, Landstar Property Solutions,76,Apartment,0,None,9
1614,City & Suburban,21, Mamela Estates,85,Apartment,0,None,9
1615,Rosettenville,114, Landstar Property Solutions,76,Apartment,0,None,9
1616,Townsview,125, Begrand Property,16,Townhouse,2,None,9
1617,Craighall Park,24, Pam Golding Properties - Hyde Park Letting,104,Apartment,0,None,9
1618,Glensan,42, Leapfrog JHB North East,77,Townhouse,2,None,9
1619,Craighall,23, CP Inc Realtors,19,Townhouse,2,None,9
1620,Johannesburg Central,53, AFHCO Africa Housing Company,3,Apartment,0,None,9
1621,Gresswold,47, O-Yes Properties,98,Apartment,0,None,9
1622,Bassonia,6, 2LetNow - JHB,2,Apartment,0,None,9
1623,Alan Manor,1, 2LetNow - JHB,2,Apartment,0,None,9
1624,Meredale,80, 2LetNow - JHB,2,Apartment,0,None,9
1625,Mulbarton,84, Allegiance Properties b,9,Apartment,0,None,9
1626,Melrose Estate,77, Blue Living Properties,17,Apartment,0,None,9
1627,Auckland Park,5, National Letting - Johannesburg,91,Apartment,0,None,9
1628,Turffontein,128, Landstar Property Solutions,76,Apartment,0,None,9
1629,Johannesburg Central,53, 2LetNow - JHB,2,Apartment,0,None,9
1630,Alan Manor,1, 2LetNow - JHB,2,Apartment,0,None,9
1631,Melrose Arch,75, The Property Collection,157,Apartment,0,None,9
1632,Winchester Hills,137, 2LetNow - JHB,2,Apartment,0,None,9
1633,Melrose Arch,75, Pam Golding Properties - Gauteng Projects,103,Apartment,0,None,9
1634,Mulbarton,84, Leopard Realtors,79,Townhouse,2,None,9
1635,Kibler Park,59, 2LetNow - JHB,2,Apartment,0,None,9
1636,Mondeor,82, 2LetNow - JHB,2,Apartment,0,None,9
1637,Oakdene,91, Landstar Property Solutions,76,Apartment,0,None,9
1638,Melrose Arch,75, Pam Golding Properties - Gauteng Projects,103,Apartment,0,None,9
1639,Saxonwold,118, Fine & Country - Fourways,44,Apartment,0,None,9
1640,Craighall Park,24, Adrienne Hersch Properties,6,Apartment,0,None,9
1641,Johannesburg Central,53, AFHCO Africa Housing Company,3,Apartment,0,None,9
1642,Mayfield Park,73, Boss Platinum Real Estate,18,Apartment,0,None,9
1643,Ormonde,96, 2LetNow - JHB,2,Apartment,0,None,9
