,Extracted Area_JHB,Extracted Area_JHBCode,Extracted listing agency,Extracted listing agencyCode,Extracted Type,Extracted TypeCode,Extracted Available Month,Extracted Available MonthCode
487,Johannesburg Central,41, Mafadi Property Management Office,52,Apartment,0,March,7
488,Riviera,90, Chas Everitt Hyde Park,20,Apartment,0,April,0
489,Berea,7, Trafalgar Property Management,93,Apartment,0,January,4
490,None,72, None,58,None,1,None,9
491,South Hills,100, AFHCO Africa Housing Company,3,Apartment,0,May,8
492,Maboneng,53, iThemba Property,103,Apartment,0,April,0
493,None,72, None,58,None,1,None,9
494,None,72, None,58,None,1,None,9
495,Houghton Estate,39, Rental,83,Apartment,0,March,7
496,Melrose Estate,58, Infinite Property Network Dynamyx,40,Apartment,0,November,10
497,None,72,  ,1,None,1,None,9
498,None,72, None,58,None,1,None,9
